,PO_ID,Current Status,Relevant Timestamp,Days,Days Bucket,Delays,Delays Bucket,Today_Target_delay,Today_Target_delay Bucket
542,PO374129PORT-0000273,09. Under Production,,52,15+,Missing,Missing,52,15+
543,PO374229PXPX-00015211,30. Stock Delivery Pending,,On-Track,On-Track,Missing,Missing,-1,On-Track
544,PO374283WOND-0001332,19. Supplier Pickup Date Pending,,1,01-03,Missing,Missing,1,01-03
545,PO374287YIDB-0001155,28. Telex Release Pending,,On-Track,On-Track,Missing,Missing,-20,On-Track
546,PO374290GOER-0000381,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-16,On-Track
547,PO374441PXSA-00008111,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
548,PO374875PXWE-0000761,24. Mark In-Transit Pending,,6,04-08,Missing,Missing,6,04-08
549,PO374875PXWE-0000792,24. Mark In-Transit Pending,,6,04-08,Missing,Missing,6,04-08
550,PO375171CHIL-0000411,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
551,PO375182HKGA-0000152,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
552,PO375303BOLT-0012311,22. Non FOB Pickup Pending,,3,01-03,Missing,Missing,3,01-03
553,PO375305BOTA-0000593,22. Non FOB Pickup Pending,,1,01-03,Missing,Missing,1,01-03
554,PO375305BOTA-0000666,21. FOB Pickup Pending,,7,04-08,Missing,Missing,7,04-08
555,PO375315EVER-0000531,22. Non FOB Pickup Pending,,2,01-03,Missing,Missing,2,01-03
556,PO375323HAPP-0000131,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-27,On-Track
557,PO375353MOUN-0000252,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-20,On-Track
558,PO375354MOUN-0000251,26. BL Payment Pending - In Transit,,5,04-08,Missing,Missing,5,04-08
559,PO375392PXIN-00007114,09. Under Production,,On-Track,On-Track,Missing,Missing,-2,On-Track
560,PO375429ROLA-00002028,23. INB Creation Pending,,6,04-08,Missing,Missing,6,04-08
561,PO377222ENOV-000042,09. Under Production,,On-Track,On-Track,Missing,Missing,-9,On-Track
562,PO377227FLYG-0000031,11. IM Sign-Off Pending,,3,01-03,Missing,Missing,3,01-03
563,PO377264KETT-0001342,09. Under Production,,On-Track,On-Track,Missing,Missing,-2,On-Track
564,PO377274LOCK-0000022,11. IM Sign-Off Pending,,1,01-03,Missing,Missing,1,01-03
565,PO377278MIST-0000102,09. Under Production,,On-Track,On-Track,Missing,Missing,-7,On-Track
566,PO377338PXFU-0001092,05. PI Payment Pending,,3,01-03,Missing,Missing,3,01-03
567,PO377353PXIN-00011716,09. Under Production,,On-Track,On-Track,Missing,Missing,-54,On-Track
568,PO377398PXWE-0001533,10. PRD Confirmation Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
569,PO377424VIIR_0000215,10. PRD Confirmation Pending,,1,01-03,Missing,Missing,1,01-03
570,PO363638YIDB-0000036,10. PRD Confirmation Pending,,1,1,Missing,Missing,367,15+
571,PO365799DONB-0000683,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
572,PO365875GEDI-0000071,11. IM Sign-Off Pending,-2.0,1,1,-2.0,On-Track,4,04-08
573,PO369348BEST-0001282,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
574,PO372033PXSO-0000021,31. Stock Receiving Pending,,9,09-15,Missing,Missing,9,09-15
575,PO372373BOLT-00126124,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
576,PO372373BOLT-00126268,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
577,PO372373BOLT-001037133,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
578,PO372373BOLT-001128136,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
579,PO372397DONB-0000828,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-20,On-Track
580,PO372456IFAN-0000151,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
581,PO372600PXIN-00004026,24. Mark In-Transit Pending,,2,01-03,Missing,Missing,2,01-03
582,PO372600PXIN-00015229,24. Mark In-Transit Pending,,2,01-03,Missing,Missing,2,01-03
583,PO372721WWAF-0000371,30. Stock Delivery Pending,,11,09-15,Missing,Missing,11,09-15
584,PO373251DONB-0000643,20. Pre Pickup Check,,5,04-08,Missing,Missing,5,04-08
585,PO373334PXPI-0000042,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
586,PO373337PXPR-0002131,30. Stock Delivery Pending,,19,15+,Missing,Missing,19,15+
587,PO373698DAWH-0000264,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
588,PO373804PROB-0000541,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
589,PO373885BOLT-0000509,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
590,PO373972AMZY-0001711,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-17,On-Track
591,PO374007BOLT-00110922,22. Non FOB Pickup Pending,,2,01-03,Missing,Missing,2,01-03
592,PO374028ROOM-0336161,26. BL Payment Pending - In Transit,-15.0,5,04-08,-15.0,On-Track,5,04-08
593,PO374050GRTR-0000091,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-9,On-Track
594,PO374142PROB-0000062,16. CI Payment Pending,,4,04-08,Missing,Missing,4,04-08
595,PO374174PXFU-00017216,20. Pre Pickup Check,,18,15+,Missing,Missing,18,15+
596,PO374220PXPR-0001003,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
597,PO374230PXPX-0000081,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
598,PO374234PXSL-0000153,28. Telex Release Pending,,5,04-08,Missing,Missing,5,04-08
599,PO374260SUNG-0000341,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
600,PO374084KETT-00013412,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-17,On-Track
601,PO374127PLEM-0000141,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
602,PO374138PROB-0000411,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-24,On-Track
603,PO374143PROB-0000183,16. CI Payment Pending,,4,04-08,Missing,Missing,4,04-08
604,PO374363BAMO-0002581,28. Telex Release Pending,,4,04-08,Missing,Missing,4,04-08
605,PO374367BAMO-0002768,24. Mark In-Transit Pending,,7,04-08,Missing,Missing,7,04-08
606,PO374441PXSA-00011115,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
607,PO374441PXSA-00015416,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
608,PO375270BEGR-1002551,10. PRD Confirmation Pending,,15,09-15,Missing,Missing,15,09-15
609,PO375288BAMO-0001161,22. Non FOB Pickup Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
610,PO375327HIGH-0000331,19. Supplier Pickup Date Pending,,On-Track,On-Track,Missing,Missing,-2,On-Track
611,PO375333HYDB - 0002046,22. Non FOB Pickup Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
612,PO375375PXCR-0000141,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-20,On-Track
613,PO375392PXIN-00014916,09. Under Production,,On-Track,On-Track,Missing,Missing,-2,On-Track
614,PO375399PXOL-0000061,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-6,On-Track
615,PO375408PXPR-0001674,26. BL Payment Pending - In Transit,,5,04-08,Missing,Missing,5,04-08
616,PO375414PXPX-0000272,21. FOB Pickup Pending,,7,04-08,Missing,Missing,7,04-08
617,PO377176AMZY-00002619,05. PI Payment Pending,,3,01-03,Missing,Missing,3,01-03
618,PO377272LIGH-0000081,05. PI Payment Pending,,6,04-08,Missing,Missing,6,04-08
619,PO377317PROB-0001924,09. Under Production,,On-Track,On-Track,Missing,Missing,-24,On-Track
620,PO377318PROB-0000121,09. Under Production,,On-Track,On-Track,Missing,Missing,-24,On-Track
621,PO377353PXIN-00005941,09. Under Production,,On-Track,On-Track,Missing,Missing,-54,On-Track
622,PO377385PXPX-0006534,09. Under Production,,On-Track,On-Track,Missing,Missing,-9,On-Track
623,PO377431WHOL-0004581,11. IM Sign-Off Pending,,1,01-03,Missing,Missing,1,01-03
624,PO377450GOER-0003201,09. Under Production,,On-Track,On-Track,Missing,Missing,-29,On-Track
625,PO377591PXPX-0000222,09. Under Production,,On-Track,On-Track,Missing,Missing,-29,On-Track
626,PO377793WINB-0000541,02. Supplier Confirmation Pending,,3,01-03,Missing,Missing,3,01-03
627,PO377794NETF-2000061,10. PRD Confirmation Pending,,405,15+,Missing,Missing,405,15+
628,PO362756AMZY-0001181,10. PRD Confirmation Pending,,1,1,Missing,Missing,385,15+
629,PO365581ATLA-0000155,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
630,PO365803DONB-0000841,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
631,PO365873GEDI-0000071,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
632,PO365887GOER-0000328,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
633,PO366068JTJS-0000171,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
634,PO366086KIDZ-0000171,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
635,PO366474YIDB-0000114,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
636,PO366476YUMA-0000011,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
637,PO367425KETT-0000606,10. PRD Confirmation Pending,,1,1,Missing,Missing,380,15+
638,PO371932M2B1-1004553,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
639,PO371982PXFU-0000691,20. Pre Pickup Check,,18,15+,Missing,Missing,18,15+
640,PO372373BOLT-00107325,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
641,PO372373BOLT-00120730,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
642,PO372373BOLT-001579102,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
643,PO372373BOLT-001326103,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
644,PO372373BOLT-001084118,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
645,PO372395DONB-0002407,26. BL Payment Pending - In Transit,,1,01-03,Missing,Missing,1,01-03
646,PO372559PXBW-0000052,28. Telex Release Pending,,On-Track,On-Track,Missing,Missing,-13,On-Track
647,PO372600PXIN-0001146,24. Mark In-Transit Pending,,2,01-03,Missing,Missing,2,01-03
648,PO372601PXIN-0000112,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
649,PO372616PXPI-0000051,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
650,PO372640PXPX-0005033,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-2,On-Track
651,PO372791PXFU-00017710,28. Telex Release Pending,,On-Track,On-Track,Missing,Missing,-13,On-Track
652,PO373350PXSV-0000017,09. Under Production,,On-Track,On-Track,Missing,Missing,-13,On-Track
653,PO373698DAWH-0000551,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
654,PO373883WHOL-00029010,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
655,PO373884KIDZ-00025424,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
656,PO373970AMZY-0001092,26. BL Payment Pending - In Transit,-43.0,On-Track,On-Track,-43.0,On-Track,-14,On-Track
657,PO373970AMZY-0000823,26. BL Payment Pending - In Transit,-43.0,On-Track,On-Track,-43.0,On-Track,-14,On-Track
658,PO374029DONB-0001321,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
659,PO374030DONB-0000302,22. Non FOB Pickup Pending,,On-Track,On-Track,Missing,Missing,-2,On-Track
660,PO374083KETT-0000759,28. Telex Release Pending,-1.0,6,04-08,-1.0,On-Track,6,04-08
661,PO374153PXAB-0000221,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-1,On-Track
662,PO374155PXAY-0000122,26. BL Payment Pending - In Transit,,1,01-03,Missing,Missing,1,01-03
663,PO374166PXCR-0000142,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
664,PO375333HYDB - 0002092,22. Non FOB Pickup Pending,,3,01-03,Missing,Missing,3,01-03
665,PO375336HYDB - 0002174,22. Non FOB Pickup Pending,,3,01-03,Missing,Missing,3,01-03
666,PO375392PXIN-0000333,09. Under Production,,On-Track,On-Track,Missing,Missing,-2,On-Track
667,PO375392PXIN-00005611,09. Under Production,,On-Track,On-Track,Missing,Missing,-2,On-Track
668,PO375399PXOL-0000052,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-6,On-Track
669,PO375449ZORE-0000225,20. Pre Pickup Check,,10,09-15,Missing,Missing,10,09-15
670,PO377181BAMO-0002891,06. Packaging Pending,,13,09-15,Missing,Missing,13,09-15
671,PO377195BIGT-0000714,18. FFW Booking Missing,-3.0,4,04-08,-3.0,On-Track,4,04-08
672,PO377226FAIR-0000041,09. Under Production,,On-Track,On-Track,Missing,Missing,-27,On-Track
673,PO377317PROB-0000481,09. Under Production,,On-Track,On-Track,Missing,Missing,-24,On-Track
674,PO377328PXCR-0000141,11. IM Sign-Off Pending,,1,01-03,Missing,Missing,1,01-03
675,PO377377PXPR-0000231,18. FFW Booking Missing,,On-Track,On-Track,Missing,Missing,-1,On-Track
676,PO377395PXWE-0001741,10. PRD Confirmation Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
677,PO365496CROW-0002801,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
678,PO365916GOER-0003442,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
679,PO366017HQPD-0000421,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
680,PO366273REGA-0000081,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
681,PO366295RYHE-0000212,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
682,PO366470WWAF-00015729,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
683,PO368128ROOM-00067731,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
684,PO369262WINB-0000451,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
685,PO371001PXPX-0000312,32. Dispute - PO Closing Pending,,9,09-15,Missing,Missing,9,09-15
686,PO371129DAWH-0012747,28. Telex Release Pending,,5,04-08,Missing,Missing,5,04-08
687,PO371225PXFH-0000063,32. Dispute - PO Closing Pending,,118,15+,Missing,Missing,118,15+
688,PO371846BAMO-00016816,28. Telex Release Pending,,4,04-08,Missing,Missing,4,04-08
689,PO372425HAMI-0002831,29. Custom Clearance Pending,,13,09-15,Missing,Missing,13,09-15
690,PO372483KNIT-0000011,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
691,PO372559PXBW-0000014,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
692,PO372561PXCI-0000383,24. Mark In-Transit Pending,,10,09-15,Missing,Missing,10,09-15
693,PO372600PXIN-0000011,24. Mark In-Transit Pending,,2,01-03,Missing,Missing,2,01-03
694,PO372857BEGR-1000251,31. Stock Receiving Pending,,10,09-15,Missing,Missing,10,09-15
695,PO372930GYMK-00000628,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
696,PO372933PXPX-0002351,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
697,PO373323PXIN-0000998,17. QC Schedule Pending,-35.0,On-Track,On-Track,-35.0,On-Track,0,On-Track
698,PO373343PXPX-0002321,30. Stock Delivery Pending,,3,01-03,Missing,Missing,3,01-03
699,PO373352PXWE-0001821,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-4,On-Track
700,PO373767TOOL-0000031,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
701,PO373926OFFI-0001571,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-1,On-Track
702,PO374007BOLT-00132623,22. Non FOB Pickup Pending,,2,01-03,Missing,Missing,2,01-03
703,PO374007BOLT-00111624,22. Non FOB Pickup Pending,,2,01-03,Missing,Missing,2,01-03
704,PO374036ENOV-000011,28. Telex Release Pending,,2,01-03,Missing,Missing,2,01-03
705,PO374036ENOV-000022,28. Telex Release Pending,,2,01-03,Missing,Missing,2,01-03
706,PO374193PXIM-0000021,30. Stock Delivery Pending,,4,04-08,Missing,Missing,4,04-08
707,PO374196PXIN-00008313,18. FFW Booking Missing,-3.0,3,01-03,-3.0,On-Track,3,01-03
708,PO374207PXPI-0000012,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
709,PO374224PXPX-0000332,22. Non FOB Pickup Pending,,On-Track,On-Track,Missing,Missing,-1,On-Track
710,PO374268TRIB-0000031,23. INB Creation Pending,,6,04-08,Missing,Missing,6,04-08
711,PO374287YIDB-0001594,28. Telex Release Pending,,On-Track,On-Track,Missing,Missing,-20,On-Track
712,PO374338PROB-0000411,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
713,PO374364BAMO-00025910,14. SM Sign-Off Pending,,8,04-08,Missing,Missing,8,04-08
714,PO374366BAMO-0002851,20. Pre Pickup Check,,5,04-08,Missing,Missing,5,04-08
715,PO374369BAMO-0002781,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
716,PO374441PXSA-00020559,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
717,PO375201HINO-0000052,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
718,PO375299BEST-0000266,23. INB Creation Pending,,Missing,Missing,Missing,Missing,Missing,Missing
719,PO375300BIGT-0000791,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
720,PO375301BLAC-0000433,24. Mark In-Transit Pending,,6,04-08,Missing,Missing,6,04-08
721,PO375383PXFU-0001721,19. Supplier Pickup Date Pending,,3,01-03,Missing,Missing,3,01-03
722,PO375395PXIP-0000021,22. Non FOB Pickup Pending,,On-Track,On-Track,Missing,Missing,-1,On-Track
723,PO375408PXPR-0000816,26. BL Payment Pending - In Transit,,5,04-08,Missing,Missing,5,04-08
724,PO375446WWAF-0000401,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-12,On-Track
725,PO377195BIGT-0000493,18. FFW Booking Missing,-3.0,4,04-08,-3.0,On-Track,4,04-08
726,PO377249HYDB - 0002201,09. Under Production,,11,09-15,Missing,Missing,11,09-15
727,PO377278MIST-0000141,09. Under Production,,On-Track,On-Track,Missing,Missing,-7,On-Track
728,PO377330PXCR-0000142,11. IM Sign-Off Pending,,1,01-03,Missing,Missing,1,01-03
729,PO377353PXIN-00006143,09. Under Production,,On-Track,On-Track,Missing,Missing,-54,On-Track
730,PO377450GOER-0002962,09. Under Production,,On-Track,On-Track,Missing,Missing,-29,On-Track
731,PO360234DAWH-0008915,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
732,PO360739DAWH-0000171,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
733,PO362871BOTA-00006415,11. IM Sign-Off Pending,,1,1,Missing,Missing,4,04-08
734,PO365581ATLA-0000122,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
735,PO365581ATLA-00003913,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
736,PO365838ENOV-000087,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
737,PO366192POWR-0007975,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
738,PO367464REGA-0000051,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
739,PO369308BEST-0000574,C. Shipped,Status C,Missing,Missing,,Missing,Missing,Missing
740,PO371272READ-0006551,32. Dispute - PO Closing Pending,,121,15+,Missing,Missing,121,15+
741,PO372337BAHI-0000224,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
742,PO372373BOLT-00108634,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
743,PO372373BOLT-00123358,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
744,PO372373BOLT-001332116,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
745,PO372450HYDB - 0001264,28. Telex Release Pending,-32.0,On-Track,On-Track,-32.0,On-Track,-25,On-Track
746,PO372477KIDZ-0002349,26. BL Payment Pending - In Transit,,3,01-03,Missing,Missing,3,01-03
747,PO372488LIGH-0000241,30. Stock Delivery Pending,,On-Track,On-Track,Missing,Missing,-1,On-Track
748,PO372535PROB-0000106,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
749,PO372640PXPX-0004921,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-2,On-Track
750,PO372640PXPX-0004988,26. BL Payment Pending - In Transit,,On-Track,On-Track,Missing,Missing,-2,On-Track
751,PO372644PXPX-0000081,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
752,PO372804GRTR-0000131,28. Telex Release Pending,,On-Track,On-Track,Missing,Missing,-2,On-Track
753,PO373323PXIN-00001721,24. Mark In-Transit Pending,,8,04-08,Missing,Missing,8,04-08
754,PO373323PXIN-00007826,20. Pre Pickup Check,,16,15+,Missing,Missing,16,15+
755,PO373323PXIN-00004829,20. Pre Pickup Check,,16,15+,Missing,Missing,16,15+
756,PO373676YIDB-0000091,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
757,PO373739TRIB-0000591,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
758,PO373864DAWH-00032233,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
759,PO3739602LBD-0001883,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
760,PO374032EDOU-0000762,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
761,PO374083KETT-0000543,28. Telex Release Pending,-1.0,6,04-08,-1.0,On-Track,6,04-08
762,PO374099KNIT-0000061,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
763,PO374207PXPI-0000031,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
764,PO374221PXPR-0002742,29. Custom Clearance Pending,,9,09-15,Missing,Missing,9,09-15
765,PO374248PXWE-0001661,29. Custom Clearance Pending,,10,09-15,Missing,Missing,10,09-15
766,PO374364BAMO-0002608,26. BL Payment Pending - In Transit,,2,01-03,Missing,Missing,2,01-03
767,PO374372PXCR-0000435,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
768,PO374441PXSA-0003614,29. Custom Clearance Pending,,14,09-15,Missing,Missing,14,09-15
769,PO375174HAWW-0000582,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
770,PO375201HINO-0000011,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
771,PO375300BIGT-0000713,29. Custom Clearance Pending,,Missing,Missing,Missing,Missing,Missing,Missing
772,PO375350LUMA-00016823,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
773,PO375409PXPR-0000311,22. Non FOB Pickup Pending,,1,01-03,Missing,Missing,1,01-03
774,PO375410PXPR-0000105,24. Mark In-Transit Pending,,Missing,Missing,Missing,Missing,Missing,Missing
775,PO375446WWAF-00004017,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
776,PO375447WWAF-00002823,23. INB Creation Pending,,1,01-03,Missing,Missing,1,01-03
777,PO375449ZORE-0000233,20. Pre Pickup Check,,10,09-15,Missing,Missing,10,09-15
778,PO375484BEGR-0002963,10. PRD Confirmation Pending,,15,09-15,Missing,Missing,15,09-15
779,PO3771642LBD-0001661,18. FFW Booking Missing,-3.0,3,01-03,-3.0,On-Track,3,01-03
780,PO377200BOTA-0001071,10. PRD Confirmation Pending,,On-Track,On-Track,Missing,Missing,-2,On-Track
781,PO377221ENOV-0000511,09. Under Production,,23,15+,Missing,Missing,23,15+
782,PO377240HEYN-0000131,19. Supplier Pickup Date Pending,,On-Track,On-Track,Missing,Missing,-9,On-Track
783,PO377244HOMA-0000241,10. PRD Confirmation Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
784,PO377271KNIT-0000041,10. PRD Confirmation Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
785,PO377278MIST-0000083,09. Under Production,,On-Track,On-Track,Missing,Missing,-7,On-Track
786,PO377338PXFU-0000651,05. PI Payment Pending,,3,01-03,Missing,Missing,3,01-03
787,PO377353PXIN-00014939,09. Under Production,,On-Track,On-Track,Missing,Missing,-54,On-Track
788,PO377355PXIN-00010311,09. Under Production,,On-Track,On-Track,Missing,Missing,-94,On-Track
789,PO374873PXWE-0001782,23. INB Creation Pending,,5,04-08,Missing,Missing,5,04-08
790,PO374874PXWE-0001241,23. INB Creation Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
791,PO375166CHIL-0001083,28. Telex Release Pending,,5,04-08,Missing,Missing,5,04-08
792,PO375234GOER-0002791,C. Shipped,Status C,Missing,Missing,,Missing,Missing,Missing
793,PO375305BOTA-0001071,22. Non FOB Pickup Pending,,1,01-03,Missing,Missing,1,01-03
794,PO375402PXPI-0000043,24. Mark In-Transit Pending,,6,04-08,Missing,Missing,6,04-08
795,PO375418PXTN-0000031,14. SM Sign-Off Pending,,8,04-08,Missing,Missing,8,04-08
796,PO375421PXWE-0001531,22. Non FOB Pickup Pending,,3,01-03,Missing,Missing,3,01-03
797,PO377179BAMO-0002232,01. PO Approval Pending,-1.0,25,15+,-1.0,On-Track,25,15+
798,PO377258JEWE-0002872,09. Under Production,,On-Track,On-Track,Missing,Missing,-24,On-Track
799,PO377260JEWE-0002921,10. PRD Confirmation Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
800,PO377292PINO_0000161,05. PI Payment Pending,,7,04-08,Missing,Missing,7,04-08
801,PO377323PXAY-0000131,11. IM Sign-Off Pending,,3,01-03,Missing,Missing,3,01-03
802,PO377330PXCR-0000277,09. Under Production,,On-Track,On-Track,Missing,Missing,-9,On-Track
803,PO377353PXIN-00008130,09. Under Production,,On-Track,On-Track,Missing,Missing,-54,On-Track
804,PO377365PXPR-0000733,11. IM Sign-Off Pending,,3,01-03,Missing,Missing,3,01-03
805,PO377396PXWE-0001303,10. PRD Confirmation Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
806,PO377401PXWE-0001384,10. PRD Confirmation Pending,,On-Track,On-Track,Missing,Missing,0,On-Track
807,PO377453GOER-0005921,11. IM Sign-Off Pending,,1,01-03,Missing,Missing,1,01-03
808,PO377463BAMO-0002293,09. Under Production,,On-Track,On-Track,Missing,Missing,-9,On-Track
809,PO360996HQPD-0000031,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
810,PO362894REGA-0000051,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
811,PO365581ATLA-0000176,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
812,PO365906GOER-00027426,26. BL Payment Pending - In Transit,,4,04-08,Missing,Missing,4,04-08
813,PO365958HAMI-00019626,10. PRD Confirmation Pending,,1,1,Missing,Missing,327,15+
814,PO366066JTJS-0000091,A. Anti PO Line,Status A,Missing,Missing,,Missing,Missing,Missing
